method,variant_id,method_instance,function,dimension,noise_sigma,k,r,descent_sharpness,n_runs,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rastrigin,10,0.0,0.9,0.1,1.0536051565782627,50,5,0.1,25.650058212904987,25.607666744992613,37.6,61.8,36.6,51.02541610313117,38.66541610313118,12.359999999999996,0.7560960210487755,0.043818696318351516,0.05554037614670269
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rastrigin,10,0.1,0.9,0.1,1.0536051565782627,50,5,0.1,23.876712241330978,22.428643473268814,36.8,63.0,35.8,50.146629699920865,37.54662969992087,12.599999999999998,0.7465143725297511,0.04379225038112049,0.05514460709497793
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rastrigin,10,0.2,0.9,0.1,1.0536051565782627,50,5,0.1,24.331982853948958,24.686558537676135,34.2,64.6,33.2,51.51061616627682,38.590616166276824,12.919999999999996,0.7461332684440474,0.04331642725972442,0.055697565852888084
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rastrigin,20,0.0,0.9,0.1,1.0536051565782627,50,5,0.1,107.99975122661228,104.046256924234,39.6,59.2,38.6,53.05174640583218,41.211746405832194,11.839999999999996,0.7730159662846704,0.04292335404510264,0.05736515047112843
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rastrigin,20,0.1,0.9,0.1,1.0536051565782627,50,5,0.1,110.44051710595073,108.71884500038124,41.2,59.0,40.2,51.44523737542054,39.645237375420535,11.799999999999995,0.7664547684341108,0.040666579848595036,0.058055283671799296
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rastrigin,20,0.2,0.9,0.1,1.0536051565782627,50,5,0.1,110.51668458288336,110.19907850546434,41.0,54.4,40.0,54.16135209925817,43.28135209925817,10.879999999999995,0.7972289121459081,0.03285626099993936,0.05710831806537379
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rastrigin,40,0.0,0.9,0.1,1.0536051565782627,50,5,0.1,354.33395610800704,352.7163463802751,46.2,48.8,45.2,51.23402447963466,41.474024479634664,9.759999999999996,0.8066784329835308,0.03467490835826763,0.055229826181708866
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rastrigin,40,0.1,0.9,0.1,1.0536051565782627,50,5,0.1,358.37040407889094,357.87984190230725,46.4,47.6,45.4,49.44724539068217,39.927245390682174,9.52,0.8075147943835802,0.03751059295024379,0.05633298009544935
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rastrigin,40,0.2,0.9,0.1,1.0536051565782627,50,5,0.1,353.422280586453,348.4123644755801,47.4,46.2,46.4,52.93314533895718,43.69314533895719,9.239999999999998,0.8234137268618209,0.03458209185176233,0.05528542393091958
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rosenbrock,10,0.0,0.9,0.1,1.0536051565782627,50,50,1.0,21.313937958589733,10.519073745606207,38.16,54.98,37.16,40.77714934421765,29.781149344217653,10.995999999999997,0.7270359683840536,0.025644431041269157,0.04648441419965553
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rosenbrock,10,0.1,0.9,0.1,1.0536051565782627,50,50,1.0,26.259668517037714,10.527775310492524,38.26,55.98,37.26,40.68968535657525,29.49368535657525,11.195999999999996,0.7217254427340631,0.026220809634344387,0.04674681545195575
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rosenbrock,10,0.2,0.9,0.1,1.0536051565782627,50,50,1.0,25.573403382261276,10.559525541843657,37.42,55.6,36.42,40.65724186537416,29.537241865374156,11.119999999999996,0.7227465794330367,0.026039958633165425,0.046696898257006916
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rosenbrock,20,0.0,0.9,0.1,1.0536051565782627,50,50,1.0,105.52527540132732,65.74573521596122,54.8,41.76,53.8,49.54147093165735,41.18947093165736,8.351999999999999,0.8286435109434368,0.014563717483993259,0.04188337651959483
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rosenbrock,20,0.1,0.9,0.1,1.0536051565782627,50,50,1.0,104.6570662576459,61.05651958536842,54.96,41.54,53.96,49.55189642851108,41.24389642851108,8.308,0.8297174129417448,0.0145672029152684,0.04182032515682715
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rosenbrock,20,0.2,0.9,0.1,1.0536051565782627,50,50,1.0,103.66283589685735,61.39857191405695,54.78,41.56,53.78,49.5907062992048,41.2787062992048,8.312,0.8296349664410012,0.014484085898609255,0.04180766092478889
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rosenbrock,40,0.0,0.9,0.1,1.0536051565782627,50,5,0.1,593.8459520424888,557.0828178347267,92.8,7.8,91.8,63.01218143361448,61.452181433614484,1.56,0.9751575275609243,0.006326560316115884,0.03527591193353001
proxy_sigma_controller,int_k090_r010_t008_025,proxy_sigma_controller:int_k090_r010_t008_025,rosenbrock,40,0.1,0.9,0.1,1.0536051565782627,50,5,0.1,597.4644351439659,561.0800227178752,92.8,7.8,91.8,63.01218143361448,61.452181433614484,1.56,0.9751575275609243,0.006326560316115884,0.03527591193353001
